Abell name       RA        Dec
ABELL3299        04:10:42  -88:44
ABELL2757        00:15:48  -88:10
ABELL3710        21:05:54  -87:47
ABELL3763        21:38: 6  -87:12
ABELL3595        14:32:24  -86:55
ABELL3650        20:07: 6  -86:48
ABELL3625        16:13: 0  -86:48
ABELL3801        21:55:30  -86:45
ABELL3333        04:59:30  -86:42
ABELL973S        21:55:54  -86:25
ABELL860S        20:29:48  -86:11
ABELL1091S       23:13:24  -85:57
ABELL791S        17:10:30  -85:54
ABELL3037        02:28:48  -85:50
ABELL480S        04:24:54  -85:48
ABELL389S        03:35:54  -85:37
ABELL785S        15:44:30  -85:26
ABELL4023        23:40:18  -85:12
ABELL994S        22:12:54  -85:06
ABELL607S        07:49: 6  -85:05
ABELL3779        21:39:54  -85:02
ABELL934S        21:27:30  -85:01
ABELL605S        07:22:42  -84:58
ABELL3762        21:31:24  -84:49
ABELL1009S       22:23:48  -84:48
ABELL103S        00:53: 6  -84:44
ABELL3913        22:50:18  -84:22
ABELL787S        16:04:36  -84:21
ABELL1061S       22:49:54  -84:08
ABELL21S         00:15:54  -84:04
ABELL949S        21:36:18  -83:56
ABELL107S        00:54:24  -83:52
ABELL3626        16:21:36  -83:47
ABELL3624        15:56:42  -83:29
ABELL955S        21:39:30  -83:20
ABELL837S        20:06:54  -83:20
ABELL788S        16:03:24  -83:11
ABELL833S        20:04:18  -83:06
ABELL789S        16:15:36  -82:57
ABELL825S        19:48: 6  -82:50
ABELL3728        21:05:12  -82:44
ABELL2793        00:35:12  -82:35
ABELL3629        16:39:12  -82:28
ABELL809S        19:12:36  -82:23
ABELL807S        19:06:18  -82:17
ABELL3655        20:06: 0  -82:14
ABELL405S        03:51:30  -82:13
ABELL792S        17:05:24  -82:11
ABELL3741        21:11:12  -82:09
ABELL3786        21:38:30  -82:03
ABELL240S        02:13: 6  -82:00
ABELL2727        00:07:24  -82:00
ABELL3454        10:47:36  -81:50
ABELL211S        01:55:18  -81:23
ABELL1122S       23:26:48  -81:19
ABELL793S        17:16: 0  -81:12
ABELL158S        01:24:54  -81:05
ABELL128S        01:06: 6  -81:00
ABELL30S         00:19:42  -80:49
ABELL3666        20:16:12  -80:47
ABELL3664        20:14: 0  -80:39
ABELL870S        20:29:42  -80:37
ABELL3615        15:02:54  -80:33
ABELL2837        00:52:42  -80:15
ABELL1014S       22:24:12  -80:10
ABELL3644        19:46:36  -79:58
ABELL798S        18:03:54  -79:45
ABELL609S        08:10: 6  -79:38
ABELL276S        02:29:18  -79:34
ABELL3640        19:34:54  -79:34
ABELL104S        00:54:42  -79:33
